id,effectV2,effectV1
188,Any attempt to change shape will turn the caster into a penguin, An illusionary sign labeled â€œleperâ€ hangs above casterâ€™s head
189,Any attempt to change shape will turn the caster into a rabbit, An illusionary sign labeled â€œWizardâ€ hangs above casterâ€™s head
190,Any attempt to change shape will turn the caster into a shrubbery, An illusory Lich rises from the ground and pursues caster
191,Any attempt to change shape will turn the caster into a snowman, An Iron Golem in the casterâ€™s image appears & attacks everyone
192,Any attempt to change shape will turn the caster into a toddler, Any ally hearing caster must Save or fall asleep with boredom
193,Any attempt to change shape will turn the caster into a troll, Any animals owned by caster are stricken bald forever
194,Any attempt to change shape will turn the caster into a wax dummy, Any charged magical item carried by caster is fully charged
195,Any attempt to read caster's mind reveals a homicidal maniac, Any charged magical item carried by caster is wholly drained
196,Any attempt to read caster's mind reveals an absolute void, Any chronic ailments now afflicting the caster are cured
197,Any attempt to use rope inspires the caster to hang himself, Any creatures summoned by caster are bright orange
198,Any attempt to use rope leaves caster hopelessly entangled, Any Curse afflicting caster is Removed
199,Any attempt to use rope leaves hideous welts on the caster's body, Any fires lit in the casterâ€™s home cannot be put out by him
200,Any blade that has drawn the caster's blood is invisible to him, Any food prepared by caster is poisonous to him
201,Any bread that caster bakes remains warm until it's eaten, Any glass carried by caster turns to transparent steel
202,Any building that the caster enters appears to catch fire, Any magic now affecting caster lasts until he ends it
203,Any building that the caster enters ejects him forcefully, Any magic: good or bad: now affecting the caster is Dispelled
204,Any clothing worn by caster is invisible to him while he wears it, Any metal worn by caster turns to opaque glass
205,Any clothing worn by caster smells like carrion while he wears it, Any money now carried by caster doubles in quantity
206,Any coins in caster's possession are gold-plated, Any potions carried by caster become poisonous
207,Any coins in caster's possession become copper pieces, Any potions carried by caster carry the intended spell effect
208,Any coins now carried by caster are water-soluble for 1d4 weeks, Any resurrections thus far used on caster are negated
209,Any coins now carried by caster ignite and burn like tinder, Any rings worn by caster shrink in diameter by Â½
210,Any creature Summoned by caster emerges from his mouth, Any small item caster needs is 30% likely to be in his pocket
211,Any creatures Summoned near caster are invisible to him, Any water carried by caster afflicts its imbiber with dysentery
212,Any creatures Summoned near caster immediately befriend him, Any water carried by caster becomes a free-willed elemental
213,Any damage against caster is rolled twice: using the higher roll, Any water carried by caster becomes enchanted by Watery Double
214,Any damage against caster is rolled twice: using the lower roll, Any water carried by caster burns like gasoline but is water
215,Any electricity-based magic used by caster discharges on him, Any water carried by caster causes dehydration in its imbiber
216,Any electricity-based magic used by caster reeks of ozone, Any water carried by caster doubles in volume
217,Any fire extinguished by caster rekindles itself 1d4 turns later, Any water carried by caster doubles size each of next 20 rnds.
218,Any fire-based spell used by caster has only 25% of normal range, Any water carried by caster drops 100Â° but doesnâ€™t freeze
219,Any fires set by caster are invisible for 2d6 hours, Any water carried by caster endows drinker with water breathing
220,Any fires set by caster attract undead like moths to a candle, Any water carried by caster fills with Dust of Sneezing/Choking
221,Any fires set by caster jingle like wind chimes while they burn, Any water carried by caster fills with gold pieces
222,Any fires set by caster make those near it appear to be undead, Any water carried by caster fills with goldfish
223,Any fires set by caster produce no heat, Any water carried by caster fills with mosquito larvae
224,Any fires set by caster produce no smoke, Any water carried by caster fills with rot grubs (d10)
225,Any fires set by caster whisper vague threats against him, Any water carried by caster fills with sodium chips
226,Any food now carried by caster combusts, Any water carried by caster fills with sponges
227,Any food now carried by caster is 10X as nutritious, Any water carried by caster has diuretic effect on its imbiber
228,Any food now carried by caster is fused into glass, Any water carried by caster ignites on contact with air
229,Any food now carried by caster is sealed in airtight tin cans, Any water carried by caster rises 200Â° but does not boil
230,Any food now carried by caster is toxic to Dwarves, Any water carried by caster takes him to Elemental Water
231,Any food now carried by caster smells like carrion, Any water carried by caster tastes like gasoline and really is
232,Any food now carried by caster turns to ice, Any water carried by caster tastes like gasoline but is pure
233,Any food now carried by caster turns to iron, Any water carried by caster tastes pure but is gasoline
234,Any food now carried by caster turns to spun sugar, Any water carried by caster turns invisible
235,Any gems in caster's possession are replaced by lumps of gelatin, Any water carried by caster turns to acid (Ultimate Solvent)
236,Any hammer thrown by caster returns to his hand one round later, Any water carried by caster turns to blood
237,Any horse ridden by caster suffers no fatigue while he rides it, Any water carried by caster turns to brine
238,Any intelligent weapons now carried by caster hate him forever, Any water carried by caster turns to crystal ooze
239,Any intelligent weapons seen by caster look vaguely familiar, Any water carried by caster turns to ice; may burst containers
240,Any magic currently affecting the caster is Dispelled, Any water carried by caster turns to maple syrup
241,Any magic currently affecting the caster is suppressed until dawn, Any water carried by caster turns to mercury
242,Any magic items owned by caster appear in a heap nearby, Any water carried by caster turns to roast beef gravy
243,Any magic items owned by caster are non-functional for 1d10 days, Any water carried by caster turns to solid steel
244,Any magical scrolls now carried by caster are fireproof , Any water carried by caster turns to steam of equal volume
245,Any magical scrolls now carried by caster are forgeries, Any Wishes thus far used by caster are nullified
246,Any magical scrolls now carried by caster are subtly tainted, Any wood worn by caster falls off him: takes root: and grows
247,Any magical scrolls now carried by caster discharge spontaneously, Anyone injuring the caster in the next round Vanishes
248,Any magical scrolls now carried by caster turn to steel, Anyone slain by the caster can never be raised as undead
249,Any metal object carried by caster is 90% transparent, Anyone slain by the caster fossilizes instantly
250,Any metal object carried by caster seems 10x its normal weight, Anyone sleeping near caster canâ€™t wake until he does
251,Any metal that caster is carrying turns to liquid like mercury, Anyone who sleeps within 10 feet of caster has nightmares
252,Any missile fired at caster is 10% likely to explode when it hits, At death: caster has a 10% chance to resurrect at full health 
253,Any missile fired at caster is at a -3, At death: caster is canonized by some obscure religion
254,Any missile fired by caster is 10% likely to vanish in flight, At death: caster is resurrected and has gained a level
255,Any missile shot by caster is destroyed by lightning mid-flight, At death: caster is resurrected but can no longer read
256,Any missile striking caster is 10% likely to be just an illusion, At death: caster is resurrected but continues to decay
257,Any mountain more than one mile from caster is invisible to him, At death: caster is resurrected but doesnâ€™t believe he died
258,Any ranged spell used by caster seems to issue from his eyes, At death: caster is resurrected but doesnâ€™t know it
259,Any ranged spell used by caster seems to issue from someone else, At death: caster is resurrected but forgets who he is
260,Any rope currently carried by caster doubles in length, At death: caster is resurrected but has lost a level
261,Any rope currently carried by caster turns to braided gold wire, At death: caster is resurrected but is mute
262,Any rope that caster is now carrying becomes frictionless, At death: caster is resurrected but is of the opposite sex
263,Any rope that caster is now carrying is soaked with lamp oil, At death: caster is resurrected but is permanently blind
264,Any shield held by caster appears to be made of Swiss cheese, At death: caster is resurrected but must drink blood to live
265,Any shield held by caster appears to weigh 100 pounds, At death: caster is resurrected with one week to live
266,Any shield held by caster gains a +1 bonus while he holds it, At death: caster is revealed to have been an android
267,Any shield held by caster is ethereal in the presence of weapons, At death: caster is rumored to have been of the opposite sex
268,Any shield held by caster is impervious to magical fire, At next Full Moon: caster vanishes; everyone forgets who he was
269,Any spells cast by caster are accompanied by twinkling lights, Bigbyâ€™s Interposing Hand prevents caster from attacking anyone
270,Any spells cast by caster upon himself have an undesirable effect, Blades seem dull while caster uses them
271,Any spells cast by caster upon himself lapse after one round, Blades seem warped and rusty while the caster uses them
272,Any spells cast by caster within the last hour are negated, Blood drips from the walls of casterâ€™s home
273,Any spells caster now has memorized will fail when he casts them, Both of casterâ€™s hands are now left hands
274,Any undead in the area attack the caster but ignore everyone else, Bread crumbs appear in casterâ€™s footprints
275,Any undead in the area flee from the caster for 2d10 rounds, Candles are automatically snuffed in the casterâ€™s presence
276,Any wood within 25 yards flies toward the caster for 1d10 rounds, Candles burn but are not consumed while caster is nearby
277,Any writing implement used by caster breaks: runs dry: etc., Candles cannot be ignited in the casterâ€™s presence
278,Anyone attempting to rob caster must tell him about it beforehand, Candles spontaneously ignite in the casterâ€™s presence
279,Anyone drinking a potion near caster looks like him until sunset, Caster & target fuse into one body with both identities
280,Anyone drinking a potion shrinks by 50% for its duration, Caster & target shunt to other Prime where neither exists
281,Anyone in caster's presence can't employ Direction Sense, Caster â€œgetsâ€ jokes an hour after he hears them
282,Anyone in caster's presence thinks that he represents True North, Caster absorbs all damage inflicted by target and vice versa
283,Anyone related to caster by blood is invisible to him, Caster absorbs all damage inflicted on target and vice versa
284,Anyone slain by caster becomes invisible upon death, Caster absorbs all damage inflicted on target in next turn
285,Anyone trying to pick caster's pocket shrinks by 50%, Caster absorbs all subsequent damage by next being he touches
286,Anyone trying to scry the caster's whereabouts sees this location, Caster absorbs all subsequent damage to next being he touches
287,Anyone voluntarily struck by caster's magic resents him for it, Caster absorbs damage as though he just fell d100 feet
288,Anyone who knows caster's name gives him an offensive nickname, Caster absorbs one level or hit die from next being he touches
289,Anyone who looks deep into caster's mouth risks insanity, Caster accuses random ally of joining foeâ€™s party
290,Anything caster drinks is 50% likely to fall from his mouth, Caster acknowledges no oneâ€™s authority
291,Anything written by caster appears as gibberish to everyone else, Caster acquires a random language
292,Artifacts react unpredictably when caster attempts to use them, Caster acquires his weaponâ€™s personality (i.e.: perhaps none)
293,Before each spell: caster must address someone who isn't there, Caster acquires Mummy Rot after next 10 HP of fire damage
294,Before each spell: caster must anoint his head with water, Caster acquires the deed to a castle in a far-off land
295,Before each spell: caster must bark like a dog for 2d6 seconds, Caster acquires the deed to a castle on another plane
296,Before each spell: caster must bite a gold coin, Caster activates Watery Double in next pool of water he sees
297,Before each spell: caster must blaspheme some god of chaos, Caster adds 1 to one attribute but loses 2 from another
298,Before each spell: caster must claim that his shoes are too tight, Caster adheres to next creature he touches for d8 turns
299,Before each spell: caster must claim to be invincible, Caster administers Shocking Grasp to next PC he touches
300,Before each spell: caster must clear his throat loudly, Caster adopts cute names for various parts of his body
301,Before each spell: caster must confess an embarrassing secret, Caster adopts physical form of next PC he touches
302,Before each spell: caster must confess that he's a charlatan, Caster adopts targetâ€™s alignment
303,Before each spell: caster must crack his knuckles, Caster adopts the alignment of each creature he touches
304,Before each spell: caster must drop a gold coin to the ground, Caster affected by a random Command each time he hears his name
305,Before each spell: caster must give himself permission to cast it, Caster affected by a Symbol of Fear each time he hears his name
306,Before each spell: caster must hold his breath for 1d10 seconds, Caster affected by Lifeproof; life is in random item he carries
307,Before each spell: caster must ingest a pinch of dust, Caster affected by Power Word: Silence when he speaks his name
308,Before each spell: caster must insult a close friend, Caster affected by Shocking Grasp each time he hears his name
309,Before each spell: caster must invoke some monstrous entity, Caster affected by Sleep: as spell: whenever he hears his name
310,Before each spell: caster must issue what sounds like a prophecy, Caster age is halved: but he looks twice as old
311,Before each spell: caster must light a small candle, Caster ages 1 year for each round spent in direct sunlight
312,Before each spell: caster must make a new and improbable vow, Caster ages 1 year whenever he learns a new spell
313,Before each spell: caster must make an embarrassing admission, Caster ages at 10X normal rate while at full hit points
314,Before each spell: caster must pat himself on the head, Caster ages halfway to his maximum life expectancy
315,Before each spell: caster must pluck 1d6 hairs from his head, Caster ages one year for every Hit Point he loses
316,Before each spell: caster must predict that he'll die by sunset, Caster always answers yes-or-no questions truthfully
317,Before each spell: caster must prick his finger with a rusty pin, Caster always appears to lie when checked by Detect Lie
318,Before each spell: caster must profess a thirst for human blood, Caster always appears to speak truth when checked by Detect Lie
319,Before each spell: caster must profess love for someone nearby, Caster always assumes people will react positively to him
320,Before each spell: caster must promise to change his name, Caster always feels like he is being watched
321,Before each spell: caster must remove one article of clothing, Caster always has Initiative except on a 1: when heâ€™s last
322,"Before each spell: caster must say ""Magic is my business.""", Caster always loses Initiative except on a 10: when heâ€™s first
323,"Before each spell: caster must say ""My God: it's full of stars.""", Caster always screws up when precise timing is needed
324,"Before each spell: caster must say ""The prophecy is fulfilled.""", Caster always tells truth; lies and prevarications impossible
325,"Before each spell: caster must say ""This probably won't work.""", Caster and allies all randomly exchange places
326,Before each spell: caster must shed at least 1d4 tears, Caster and allies are teleported d6 miles in random direction
327,Before each spell: caster must shout a different prime number, Caster and allies are Turned as Undead for d6 rounds each
328,Before each spell: caster must snap a twig or the like, Caster and allies cannot harm target or allies for d4 rounds
